Type;Équipement;Interface/VLAN;IP;Masque;Passerelle/Rôle
WAN;R3;Serial0/3/0;10.0.0.1;255.255.255.252;Lien R2-R3
WAN;R2;Serial0/3/0;10.0.0.2;255.255.255.252;Lien R2-R3
WAN;R2;Serial0/3/1;10.0.0.5;255.255.255.252;Lien R2-R1
WAN;R1;Serial0/3/1;10.0.0.6;255.255.255.252;Lien R2-R1
WAN;R1;Serial0/3/0;10.0.0.9;255.255.255.252;Lien R1-R3
WAN;R3;Serial0/3/1;10.0.0.10;255.255.255.252;Lien R1-R3
LAN;PC1-1;VLAN10;172.31.192.1;255.255.255.0;172.31.192.254
LAN;PC2-1;VLAN40;172.31.193.1;255.255.255.0;172.31.193.254
LAN;PC1-2;VLAN20;192.168.100.1;255.255.255.192;192.168.100.62
LAN;PC2-2;VLAN50;192.168.100.65;255.255.255.192;192.168.100.126
LAN;PC1-3;VLAN30;172.18.48.1;255.255.255.0;172.18.48.254
LAN;PC2-3;VLAN60;172.18.49.1;255.255.255.0;172.18.49.254
